马年大吉,#group#
CCTV4K,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226340/1.m3u8?fmt=ts2hls
CCTV4K,http://111.56.121.176:80/050000001888/5000000188800000217/index.m3u8
CCTV4K,https://t.freetv.fun/live/cctv-4kgao-qing.m3u8
CCTV4K,https://t.freetv.fun/live/cctv-4kgao-qing-1.m3u8
CCTV4K,https://t.freetv.fun/live/cctv-4kgao-qing-5.m3u8
CCTV4K,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV8K,http://119.91.7.169:1777/216.75.129.13.php?id=21
CCTV8K,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
CCTV1-综合,http://111.56.121.176:80/050000001888/5000000188800000011/index.m3u8
CCTV1-综合,http://yhms.aylzline.top:8899/rtp/225.1.2.47:10276
CCTV1-综合,http://lysj.aylzline.top:8899/rtp/225.1.2.47:10276
CCTV1-综合,http://zczb.aylzline.top:8899/rtp/225.1.2.47:10276
CCTV1-综合,https://t.freetv.fun/live/cctv1-3.php
CCTV1-综合,http://iptv.4666888.xyz/iptv2A.php?id=7
CCTV2-财经,http://111.56.121.176:80/050000001888/5000000188800000013/index.m3u8
CCTV2-财经,http://lysj.aylzline.top:8899/rtp/225.1.2.78:10462
CCTV2-财经,http://iptv.4666888.xyz/iptv2A.php?id=8
CCTV3-综艺,http://111.56.121.176:80/050000001888/5000000188800000015/index.m3u8
CCTV3-综艺,http://lysj.aylzline.top:8899/rtp/225.1.2.141:10864
CCTV3-综艺,http://zczb.aylzline.top:8899/rtp/225.1.2.141:10864
CCTV3-综艺,http://iptv.4666888.xyz/iptv2A.php?id=9
CCTV4-国际,http://111.56.121.176:80/050000001888/5000000188800000017/index.m3u8
CCTV4-国际,http://yhms.aylzline.top:8899/rtp/225.1.2.197:11806
CCTV4-国际,http://lysj.aylzline.top:8899/rtp/225.1.2.197:11806
CCTV4-国际,http://iptv.4666888.xyz/iptv2A.php?id=10
CCTV4-欧洲,http://lysj.aylzline.top:8899/rtp/225.1.2.182:11818
CCTV4-欧洲,http://yhms.aylzline.top:8899/rtp/225.1.2.182:11818
CCTV4-美洲,http://yhms.aylzline.top:8899/rtp/225.1.2.183:11824
CCTV4-美洲,http://zczb.aylzline.top:8899/rtp/225.1.2.183:11824
CCTV5-体育,http://111.56.121.176:80/050000001888/5000000188800000020/index.m3u8
CCTV5-体育,http://lysj.aylzline.top:8899/rtp/225.1.2.142:10870
CCTV5-体育,http://zczb.aylzline.top:8899/rtp/225.1.2.142:10870
CCTV5+,http://yhms.aylzline.top:8899/rtp/225.1.2.48:10282
CCTV5+,http://lysj.aylzline.top:8899/rtp/225.1.2.48:10282
CCTV6-电影,http://111.56.121.176:80/050000001888/5000000188800000022/index.m3u8
CCTV6-电影,http://yhms.aylzline.top:8899/rtp/225.1.2.143:10876
CCTV6-电影,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub
CCTV7-国防军事,http://111.56.121.176:80/050000001888/5000000188800000024/index.m3u8
CCTV7-国防军事,http://yhms.aylzline.top:8899/rtp/225.1.2.79:10468
CCTV7-国防军事,http://zczb.aylzline.top:8899/rtp/225.1.2.79:10468
CCTV7-国防军事,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV8-电视剧,http://111.56.121.176:80/050000001888/5000000188800000026/index.m3u8
CCTV8-电视剧,http://yhms.aylzline.top:8899/rtp/225.1.2.144:10882
CCTV8-电视剧,http://zczb.aylzline.top:8899/rtp/225.1.2.144:10882
CCTV9-纪录,http://111.56.121.176:80/050000001888/5000000188800000028/index.m3u8
CCTV9-纪录,http://yhms.aylzline.top:8899/rtp/225.1.2.80:10474
CCTV9-纪录,http://zczb.aylzline.top:8899/rtp/225.1.2.80:10474
CCTV9-纪录,http://111.170.157.210:1081/?id=673168140&auth=95d4c11f9a4bc430bf05d5da4ace7ccb29c17dc20b459328df7307699b115f23f0f82574a2da21f57c5ccdd574bf87a4
CCTV9-纪录,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV9-纪录,http://lysj.aylzline.top:8899/rtp/225.1.2.80:10474
CCTV10-科教,http://111.56.121.176:80/050000001888/5000000188800000118/index.m3u8
CCTV10-科教,http://yhms.aylzline.top:8899/rtp/225.1.2.81:10480
CCTV10-科教,http://zczb.aylzline.top:8899/rtp/225.1.2.81:10480
CCTV11-戏曲,http://111.56.121.176:80/050000001888/5000000188800000100/index.m3u8
CCTV11-戏曲,http://yhms.aylzline.top:8899/rtp/225.1.2.220:11434
CCTV11-戏曲,http://lysj.aylzline.top:8899/rtp/225.1.2.220:11434
CCTV11-戏曲,http://zczb.aylzline.top:8899/rtp/225.1.2.220:11434
CCTV11-戏曲,http://171.113.250.179:4022/rtp/239.69.1.154:10560
CCTV11-戏曲,http://222.214.208.34:59901/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://111.56.121.176:80/050000001888/5000000188800000005/index.m3u8
CCTV12-社会与法,http://lysj.aylzline.top:8899/rtp/225.1.2.82:10486
CCTV12-社会与法,http://zczb.aylzline.top:8899/rtp/225.1.2.82:10486
CCTV12-社会与法,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub
CCTV13-新闻,http://111.56.121.176:80/050000001888/5000000188800000101/index.m3u8
CCTV13-新闻,http://lysj.aylzline.top:8899/rtp/225.1.2.74:11584
CCTV13-新闻,http://zczb.aylzline.top:8899/rtp/225.1.2.74:11584
CCTV13-新闻,http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub
CCTV13-新闻,http://iptv.4666888.xyz/iptv2A.php?id=11
CCTV14-少儿,http://111.56.121.176:80/050000001888/5000000188800000008/index.m3u8
CCTV14-少儿,http://zczb.aylzline.top:8899/rtp/225.1.2.83:10492
CCTV14-少儿,http://lysj.aylzline.top:8899/rtp/225.1.2.83:10492
CCTV14-少儿,http://38.75.136.137:98/gslb/dsdqpub/cctv14hd.m3u8?auth=testpub
CCTV14-少儿,http://iptv.4666888.xyz/iptv2A.php?id=12
CCTV15-音乐,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225866/1.m3u8?fmt=ts2hls
CCTV15-音乐,http://yhms.aylzline.top:8899/rtp/225.1.2.221:11440
CCTV15-音乐,http://lysj.aylzline.top:8899/rtp/225.1.2.221:11440
CCTV15-音乐,http://zczb.aylzline.top:8899/rtp/225.1.2.221:11440
CCTV15-音乐,http://38.75.136.137:98/gslb/dsdqpub/cctv15hd.m3u8?auth=testpub
CCTV16-奥林匹克,http://223.167.125.208:4022/udp/233.18.204.114:5140
CCTV16-奥林匹克,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226301/1.m3u8?fmt=ts2hls
CCTV16-奥林匹克,http://111.56.121.176:80/050000001888/5000000188800000097/index.m3u8
CCTV16-奥林匹克,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
CCTV16-奥林匹克,http://221.7.49.226:50085/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16-奥林匹克,http://iptv.4666888.xyz/iptv2A.php?id=32
CCTV17-农业农村,http://111.56.121.176:80/050000001888/5000000188800000084/index.m3u8
CCTV17-农业农村,http://yhms.aylzline.top:8899/rtp/225.1.2.53:10312
CCTV17-农业农村,http://lysj.aylzline.top:8899/rtp/225.1.2.53:10312
CCTV17-农业农村,http://zczb.aylzline.top:8899/rtp/225.1.2.53:10312
CCTV17-农业农村,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub
CCTV17-农业农村,http://39.165.39.49:19901/tsfile/live/1088_1.m3u8?key=txiptv&playlive=0&authid=0
早期教育,http://jasonzhangnas.f3322.net:7088/rtp/233.18.204.187:5140
早期教育,http://111.56.121.176:80/050000001888/5000000188800000165/index.m3u8
中国教育1,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226328/1.m3u8?fmt=ts2hls
中国教育1,http://lysj.aylzline.top:8899/rtp/225.1.2.94:10558
中国教育1,http://yhms.aylzline.top:8899/rtp/225.1.2.94:10558
中国教育1,http://zczb.aylzline.top:8899/rtp/225.1.2.94:10558
中国教育1,http://38.75.136.137:98/gslb/dsdqpub/cetv1hd.m3u8?auth=testpub
中国教育2,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225850/1.m3u8?fmt=ts2hls
中国教育2,http://lysj.aylzline.top:8899/rtp/225.1.2.149:10912
中国教育2,http://yhms.aylzline.top:8899/rtp/225.1.2.149:10912
中国教育2,http://zczb.aylzline.top:8899/rtp/225.1.2.149:10912
中国教育2,http://38.75.136.137:98/gslb/dsdqpub/cetv2.m3u8?auth=testpub
中国教育3,http://111.56.121.176:80/050000001888/5000000188800000079/index.m3u8
中国教育3,http://38.75.136.137:98/gslb/dsdqpub/cetv3.m3u8?auth=testpub
中国教育4,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225892/1.m3u8?fmt=ts2hls
中国教育4,http://111.56.121.176:80/050000001888/5000000188800000080/index.m3u8
中国教育4,http://lysj.aylzline.top:8899/rtp/225.1.2.95:10564
中国教育4,http://yhms.aylzline.top:8899/rtp/225.1.2.95:10564
中国教育4,http://zczb.aylzline.top:8899/rtp/225.1.2.95:10564
中国教育4,http://38.75.136.137:98/gslb/dsdqpub/cetv4.m3u8?auth=testpub
CGTN英语,https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://espanol-livews.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
风云音乐,http://111.56.121.176:80/050000001888/5000000188800000158/index.m3u8
风云音乐,http://jxyxnk.x3322.net:4022/rtp/239.252.219.87:5140
风云音乐,http://223.167.125.208:4022/rtp/233.18.204.185:5140
风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
风云音乐,http://w.yao87.com:4022/rtp/239.76.254.51:9000
风云音乐,http://www.qfly9236.cn:8888/rtp/239.253.92.111:8060
风云音乐,http://vapi.91kds.cc/live1/udp.m3u8?ip=hubei-dx&apiKey=73c963d13814ce7d0e4743c5e7d033cc&id=239.69.1.90:10180
风云音乐,http://vapi.91kds.cc/live1/udp.m3u8?ip=guangdong-dx&apiKey=73c963d13814ce7d0e4743c5e7d033cc&id=239.253.43.6:5146
风云音乐,http://sh.lnott.top:880/dx73.m3u8
风云音乐,http://www.dwphic.com:9999/udp/239.69.1.90:10180
风云音乐,http://www.qfly9236.cn:8888/rtp/239.253.92.111:8060
风云音乐,http://www.dwphic.com:9999/udp/239.69.1.90:10180
第一剧场,http://111.56.121.176:80/050000001888/5000000188800000155/index.m3u8
第一剧场,http://jxyxnk.x3322.net:4022/rtp/239.252.219.86:5140
第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
第一剧场,http://w.yao87.com:4022/rtp/239.76.254.49:9000
第一剧场,http://www.qfly9236.cn:8888/rtp/239.253.92.18:6079
第一剧场,http://vapi.91kds.cc/live1/udp.m3u8?ip=hebei-lt&apiKey=73c963d13814ce7d0e4743c5e7d033cc&id=239.253.92.18:6079
第一剧场,http://vapi.91kds.cc/live1/udp.m3u8?ip=hubei-dx&apiKey=73c963d13814ce7d0e4743c5e7d033cc&id=239.69.1.74:10084
第一剧场,http://vapi.91kds.cc/live1/udp.m3u8?ip=guangdong-dx&apiKey=73c963d13814ce7d0e4743c5e7d033cc&id=239.253.43.15:5146
第一剧场,http://sh.lnott.top:880/dx103.m3u8
第一剧场,http://www.qfly9236.cn:8888/rtp/239.253.92.18:6079
第一剧场,http://www.dwphic.com:9999/rtp/239.69.1.74:10084
风云剧场,http://111.56.121.176:80/050000001888/5000000188800000157/index.m3u8
风云剧场,http://jxyxnk.x3322.net:4022/rtp/239.252.219.89:5140
风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
风云剧场,http://w.yao87.com:4022/rtp/239.76.254.50:9000
风云剧场,http://www.qfly9236.cn:8888/rtp/239.253.92.22:6073
风云剧场,http://vapi.91kds.cc/live1/udp.m3u8?ip=hebei-lt&apiKey=73c963d13814ce7d0e4743c5e7d033cc&id=239.253.92.22:6073
风云剧场,http://vapi.91kds.cc/live1/udp.m3u8?ip=guangdong-dx&apiKey=73c963d13814ce7d0e4743c5e7d033cc&id=239.253.43.16:5146
风云剧场,http://sh.lnott.top:880/dx94.m3u8
怀旧剧场,http://111.56.121.176:80/050000001888/5000000188800000192/index.m3u8
怀旧剧场,http://jxyxnk.x3322.net:4022/rtp/239.252.219.90:5140
怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
怀旧剧场,http://w.yao87.com:4022/rtp/239.76.254.53:9000
怀旧剧场,http://www.qfly9236.cn:8888/rtp/239.253.92.98:6120
怀旧剧场,http://www.dwphic.com:9999/udp/239.69.1.89:10174
怀旧剧场,http://www.qfly9236.cn:8888/rtp/239.253.92.98:6120
怀旧剧场,http://www.dwphic.com:9999/udp/239.69.1.89:10174
怀旧剧场,http://vapi.91kds.cc/live1/udp.m3u8?ip=hebei-lt&apiKey=73c963d13814ce7d0e4743c5e7d033cc&id=239.253.92.98:6120
怀旧剧场,http://vapi.91kds.cc/live1/udp.m3u8?ip=hubei-dx&apiKey=73c963d13814ce7d0e4743c5e7d033cc&id=239.69.1.89:10174
怀旧剧场,http://vapi.91kds.cc/live1/udp.m3u8?ip=guangdong-dx&apiKey=73c963d13814ce7d0e4743c5e7d033cc&id=239.253.43.5:5146
怀旧剧场,http://sh.lnott.top:880/dx95.m3u8
怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
兵器科技,http://111.56.121.176:80/050000001888/5000000188800000163/index.m3u8
风云足球,http://111.56.121.176:80/050000001888/5000000188800000159/index.m3u8
央视台球,http://111.56.121.176:80/050000001888/5000000188800000162/index.m3u8
高尔夫网球,http://111.56.121.176:80/050000001888/5000000188800000183/index.m3u8
世界地理,http://111.56.121.176:80/050000001888/5000000188800000156/index.m3u8
女性时尚,http://111.56.121.176:80/050000001888/5000000188800000161/index.m3u8
电视指南,http://111.56.121.176:80/050000001888/5000000188800000164/index.m3u8


📡卫视,#genre#
北京卫视4K,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226322/1.m3u8?fmt=ts2hls
北京卫视4K,http://223.167.125.208:4022/udp/233.18.204.209:5140
北京卫视4K,http://106.53.99.30/tv/bj.php?id=bjws4k
东方卫视4K(看东方),https://bp-resource-dfl.bestv.cn/148/3/video.m3u8
东方卫视4K(看东方),http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
东方卫视4K,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226360/1.m3u8?fmt=ts2hls
东方卫视4K,http://223.167.125.208:4022/udp/233.18.204.224:5140
东方卫视4K,http://106.53.99.30/tv/api.php?id=dfws4k
江苏卫视4K,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226356/1.m3u8?fmt=ts2hls
江苏卫视4K,http://8.138.7.223/tv/jsws4k.php
浙江卫视4K,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226338/1.m3u8?fmt=ts2hls
浙江卫视4K,https://bd-xwl.cztv.com/live/channel4k2160p.m3u8
浙江卫视4K,http://play-qukan.cztv.com/live/1758879019692345.m3u8
浙江卫视4K,https://play-qukan.cztv.com:443/live/1758879019692345.m3u8
---------------------------------------------------------------------------------------
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江公共新闻,http://ali-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江教科影视,http://ali-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江经济生活,https://t.freetv.fun/live/zhe-jiang-jing-ji-sheng-huo-3.m3u8
浙江经济生活,https://t.freetv.fun/live/zhe-jiang-jing-ji-sheng-huo-1.m3u8
---------------------------------------------------------------------------------------
湖南卫视4K,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226361/1.m3u8?fmt=ts2hls
湖南卫视4K,http://223.167.125.208:4022/udp/233.18.204.227:5140
湖南卫视4K,http://106.53.99.30/tv/api.php?id=hnws4k
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
广东卫视4K,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226357/1.m3u8?fmt=ts2hls
广东卫视4K,http://124.116.170.138:8081/rtp/239.111.205.103:5140
广东4K,http://www.3344.uk:8888/rtp/239.77.1.237:5146
广东4K,http://www.guangyuan.site:8188/rtp/239.77.0.244:5146
广东4K,http://www.8888866.xyz:10000/udp/239.77.0.245:5146
深圳卫视4K,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226335/1.m3u8?fmt=ts2hls
深圳卫视4K,http://nn.7x9d.cn/深圳最新.php?id=szws4k
山东卫视4K,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226365/1.m3u8?fmt=ts2hls
山东卫视4K,http://124.116.170.138:8081/rtp/239.111.205.66:5140
四川卫视4K,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226364/1.m3u8?fmt=ts2hls
四川卫视4K,http://39.152.103.17:8089/tsfile/live/1044_1.m3u8
四川卫视4K,http://124.116.170.138:8081/rtp/239.111.205.62:5140
苏州修复4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
河北电视4K,https://event.pull.hebtv.com:443/live/live101.m3u8
河南卫视4K,http://yhms.aylzline.top:8899/rtp/225.1.2.237:11530
河南卫视4K,http://lysj.aylzline.top:8899/rtp/225.1.2.237:11530
河南卫视4K,http://zczb.aylzline.top:8899/rtp/225.1.2.237:11530
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=babbcbacdbcf13a3311a264e4dd66b8d&txTime=191b60b41a7
欢笑剧场4K,http://www.imengu.cn:6666/udp/233.50.200.52:5140
欢笑剧场4K,http://223.167.125.208:4022/udp/233.18.204.115:5140
欢笑剧场4K,http://lihetl.com:9527/rtp/232.0.0.150:9160
欢笑剧场4K,http://gslbserv.itv.cmvideo.cn/5000000007000010001/1.m3u8?channel-id=bestzb&Contentid=5000000007000010001&livemode=1&stbId=3
--------------------------------------------------------------------------------------------------------------------
湖北卫视,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225903/1.m3u8?fmt=ts2hls
湖北卫视,http://110.80.17.38:9999/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://111.56.121.176:80/050000001888/5000000188800000047/index.m3u8
湖北卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.90:10534
湖北卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.90:10534
湖北卫视,http://yhms.aylzline.top:8899/rtp/225.1.2.90:10534
湖北卫视,http://go.bkpcp.top/mg/hubws
湖北卫视,http://j.s.bkpcp.top/jj/hubws
湖北卫视,http://t.061899.xyz/tl/tl.php?id=hubws
湖北卫视,http://m.061899.xyz/mg/hubws
湖北卫视,http://k.061899.xyz/m.php?id=hubws
广东珠江,http://iptv.4666888.xyz/iptv2A.php?id=19
广东珠江,http://r.jdshipin.com/sE5vO
广东珠江,http://iptv.4666888.xyz/iptv2A.php?id=19
大湾区卫视,http://171.38.107.34:8282/tsfile/live/1002_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
大湾区卫视,http://120.198.84.146:9901/tsfile/live/1009_1.m3u8
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8
广东公共,http://171.38.107.34:8282/tsfile/live/1007_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
广西卫视,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226344/1.m3u8?fmt=ts2hls
广西卫视,http://yhms.aylzline.top:8899/rtp/225.1.2.34:10198
广西卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.34:10198
广西卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.34:10198
广西卫视,http://38.75.136.137:98/gslb/dsdqpub/gxwshd.m3u8?auth=testpub
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
海南卫视,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226368/1.m3u8?fmt=ts2hls
海南卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.107:11620
海南卫视,http://yhms.aylzline.top:8899/rtp/225.1.2.107:11620
海南卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.107:11620
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws&?key=txiptv
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
重庆卫视,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226310/1.m3u8?fmt=ts2hls
重庆卫视,http://yhms.aylzline.top:8899/rtp/225.1.2.75:11590
重庆卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.75:11590
重庆卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.75:11590
重庆卫视,http://38.75.136.137:98/gslb/dsdqpub/cqwshd.m3u8?auth=testpub
重庆卫视,https://t.freetv.fun/live/zhong-qing-wei-shi-3.m3u8
河南卫视,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226346/1.m3u8?fmt=ts2hls
河南卫视,http://39.165.39.49:19901/tsfile/live/1105_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225914/1.m3u8?fmt=ts2hls
东南卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.226:11470
东南卫视,http://39.165.39.49:19901/tsfile/live/1149_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225899/1.m3u8?fmt=ts2hls
贵州卫视,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225737/1.m3u8?fmt=ts2hls
贵州卫视,http://yhms.aylzline.top:8899/rtp/225.1.2.109:11632
贵州卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.109:11632
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
江西卫视,http://111.56.121.176/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221226324/1.m3u8?fmt=ts2hls
江西卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.77:11602
江西卫视,http://zczb.aylzline.top:8899/rtp/225.1.2.77:11602
